"FirstName";"LastName";"Gender";"RegDate";"BirthDate";"CustomerKey";"Age";"AgeGroup"
"Anthony";"Miller";"Male";2024-04-02 00:00:00;1982-05-10 00:00:00;1;43;"Seniors"
"Joshua";"Cook";"Male";2024-01-23 00:00:00;1958-03-05 00:00:00;2;67;"Seniors"
"Mia";"Martin";"Female";2023-12-26 00:00:00;1984-04-30 00:00:00;3;41;"Seniors"
"Nicholas";"Garcia";"Male";2023-11-19 00:00:00;1957-08-17 00:00:00;4;68;"Seniors"
"Susan";"Berry";"Female";2024-02-07 00:00:00;1981-01-12 04:10:26;5;44;"Seniors"
"Joseph";"Webb";"Male";2024-06-27 00:00:00;1996-01-29 00:00:00;6;29;"Adults"
"Michael";"Little";"Male";2024-03-26 00:00:00;2000-01-03 00:00:00;7;25;"Young Adults"
"Katrina";"Boone";"Female";2024-09-17 00:00:00;1998-07-25 00:00:00;8;27;"Adults"
"Matthew";"Jackson";"Male";2024-04-16 00:00:00;1977-07-27 00:00:00;9;48;"Seniors"
"Kenneth";"Rogers";"Male";2024-02-20 00:00:00;1967-07-05 00:00:00;10;58;"Seniors"
"Zachary";"Sullivan";"Male";2025-04-27 00:00:00;1988-09-25 00:00:00;11;36;"Adults"
"Michelle";"Stephens";"Female";2024-08-08 00:00:00;1966-09-23 00:00:00;12;58;"Seniors"
"Andrew";"Taylor";"Male";2024-06-27 00:00:00;1967-10-15 00:00:00;13;57;"Seniors"
"Madison";"Smith";"Female";2022-12-29 00:00:00;1996-09-01 00:00:00;14;28;"Adults"
"Jeffrey";"Smith";"Male";2022-10-07 00:00:00;1991-02-07 00:00:00;15;34;"Adults"
"William";"Baker";"Male";2024-02-15 00:00:00;1986-10-18 00:00:00;16;38;"Adults"
"Alexander";"Fields";"Male";2024-03-23 00:00:00;1965-10-16 00:00:00;17;59;"Seniors"
"Mary";"Manning";"Female";2023-12-11 00:00:00;1997-05-06 00:00:00;18;28;"Adults"
"Brianna";"Rios";"Female";2024-01-29 00:00:00;1974-06-16 00:00:00;19;51;"Seniors"
"Kelly";"Soto";"Female";2024-07-29 00:00:00;1981-01-12 04:10:26;20;44;"Seniors"
"Mary";"Bailey";"Female";2023-04-26 00:00:00;2004-11-22 00:00:00;21;20;"Young Adults"
"Kelly";"Savage";"Female";2024-12-17 00:00:00;1989-09-01 00:00:00;22;35;"Adults"
"Molly";"Walker";"Female";2023-09-04 00:00:00;1993-06-11 00:00:00;23;32;"Adults"
"Christina";"Morris";"Female";2024-10-15 00:00:00;1981-09-26 00:00:00;24;43;"Seniors"
"Christina";"Carney";"Female";2023-01-02 00:00:00;1955-10-23 00:00:00;25;69;"Seniors"
"Lindsay";"Miller";"Female";2023-03-21 00:00:00;1992-05-18 00:00:00;26;33;"Adults"
"Rachel";"Webb";"Female";2025-02-05 00:00:00;2004-05-10 00:00:00;27;21;"Young Adults"
"Sean";"Peterson";"Male";2025-03-13 00:00:00;1969-11-23 00:00:00;28;55;"Seniors"
"Lee";"Simpson";"Male";2024-03-07 00:00:00;2001-12-27 00:00:00;29;23;"Young Adults"
"Tyler";"Foley";"Male";2024-02-06 00:00:00;1976-02-10 00:00:00;30;49;"Seniors"
"Robin";"Lee";"Female";2024-05-28 00:00:00;1966-12-08 00:00:00;31;58;"Seniors"
"Jaime";"Baker";"Female";2023-03-01 00:00:00;1981-01-12 04:10:26;32;44;"Seniors"
"Susan";"Shaw";"Female";2022-11-11 00:00:00;1981-01-12 04:10:26;33;44;"Seniors"
"Laurie";"Evans";"Female";2023-10-10 00:00:00;1986-04-28 00:00:00;34;39;"Adults"
"Sarah";"Hart";"Female";2025-02-01 00:00:00;1978-01-20 00:00:00;35;47;"Seniors"
"Taylor";"Hill";"Male";2025-06-13 00:00:00;1957-12-17 00:00:00;36;67;"Seniors"
"Jon";"Anderson";"Male";2024-01-11 00:00:00;1991-01-21 00:00:00;37;34;"Adults"
"Sheila";"Snow";"Female";2025-02-09 00:00:00;1969-09-02 00:00:00;38;55;"Seniors"
"Stephanie";"Smith";"Female";2023-09-20 00:00:00;2004-04-22 00:00:00;39;21;"Young Adults"
"Dominique";"Cowan";"Female";2024-10-02 00:00:00;1978-12-23 00:00:00;40;46;"Seniors"
"Michael";"Gonzalez";"Male";2024-11-25 00:00:00;1972-12-23 00:00:00;41;52;"Seniors"
"Sara";"Turner";"Female";2023-01-30 00:00:00;1986-06-13 00:00:00;42;39;"Adults"
"Jeremy";"Gardner";"Male";2022-12-06 00:00:00;1973-08-25 00:00:00;43;52;"Seniors"
"Madison";"Long";"Female";2024-11-03 00:00:00;1985-03-01 00:00:00;44;40;"Adults"
"Herbert";"Snyder";"Male";2023-09-06 00:00:00;1967-11-16 00:00:00;45;57;"Seniors"
"Susan";"Jones";"Female";2022-10-08 00:00:00;1956-05-26 00:00:00;46;69;"Seniors"
"Amanda";"David";"Female";2023-12-08 00:00:00;2004-05-15 00:00:00;47;21;"Young Adults"
"Brian";"Lambert";"Male";2024-03-06 00:00:00;1976-09-29 00:00:00;48;48;"Seniors"
"Rachel";"Owens";"Female";2024-06-28 00:00:00;1982-11-01 00:00:00;49;42;"Seniors"
"James";"Lopez";"Male";2023-03-27 00:00:00;1959-11-20 00:00:00;50;65;"Seniors"
